,Island,P.locat,NP,GP,BFj,BUj,lon,lat,site,LCC,,site2
663,Kiritimati,patch,0.057234848,0,0,0,-157.47607,1.92109,15,0,,-157.47607
666,Kiritimati,patch,0.057234848,0,0,0,-157.47607,1.92109,15,0,,-157.47607
664,Kiritimati,patch,0.326048848,0.268814,0,0,-157.47607,1.92109,15,14,,-157.47607
661,Kiritimati,patch,0.396840971,0.339606122,0,0,-157.47607,1.92109,15,16,,-157.47607
665,Kiritimati,patch,0.461861942,0.404627093,0,0,-157.47607,1.92109,15,29,,-157.47607
667,Kiritimati,patch,2.511650054,2.467964881,0.013549675,0,-157.47607,1.93958,16,188,,-157.47607
670,Kiritimati,patch,3.04847845,2.998200736,0.006629156,0.000327979,-157.47607,1.93958,16,299,,-157.47607
668,Kiritimati,patch,3.385384471,3.332708583,0.00455896,0,-157.47607,1.93958,16,212,,-157.47607
671,Kiritimati,patch,4.392350559,4.343086547,0.007785209,0.000185627,-157.47607,1.93958,16,336,,-157.47607
672,Kiritimati,patch,4.985723066,4.933058721,0.004570504,0,-157.47607,1.93958,16,318,,-157.47607
669,Kiritimati,patch,6.517662553,6.483424212,0.022996507,0,-157.47607,1.93958,16,432,,-157.47607
688,Kiritimati,patch,1.39260548,1.351788398,0.01471767,0.001700097,-157.47603,1.95099,19,142,,-157.47603
690,Kiritimati,patch,1.723041404,1.674882342,0.009075786,0,-157.47603,1.95099,19,121,,-157.47603
689,Kiritimati,patch,2.113639469,2.067446569,0.006258034,0.004783915,-157.47603,1.95099,19,122,,-157.47603
686,Kiritimati,patch,2.319430746,2.271982833,0.008680084,0.001106851,-157.47603,1.95099,19,134,,-157.47603
687,Kiritimati,patch,5.087498979,5.036610215,0.006035006,0.000311079,-157.47603,1.95099,19,211,,-157.47603
685,Kiritimati,patch,5.377177715,5.323370665,0.00315895,0.000268847,-157.47603,1.95099,19,317,,-157.47603
704,Kiritimati,patch,0.057234848,0,0,0,-157.47566,1.91986,22,0,,-157.47566
706,Kiritimati,patch,0.057234848,0,0,0,-157.47566,1.91986,22,0,,-157.47566
707,Kiritimati,patch,0.057234848,0,0,0,-157.47566,1.91986,22,0,,-157.47566
708,Kiritimati,patch,0.057234848,0,0,0,-157.47566,1.91986,22,0,,-157.47566
705,Kiritimati,patch,0.136178605,0.078943756,0,0,-157.47566,1.91986,22,7,,-157.47566
703,Kiritimati,patch,0.193933994,0.136699145,0,0,-157.47566,1.91986,22,12,,-157.47566
678,Kiritimati,patch,1.056578997,1.009256353,0.006886205,0.003026,-157.47374,1.96364,17,73,,-157.47374
676,Kiritimati,patch,1.138706294,1.081806367,0.000334922,0,-157.47374,1.96364,17,35,,-157.47374
677,Kiritimati,patch,1.565807858,1.511205676,0,0.002632666,-157.47374,1.96364,17,84,,-157.47374
673,Kiritimati,patch,1.754746912,1.70037158,0.001523496,0.00133602,-157.47374,1.96364,17,98,,-157.47374
675,Kiritimati,patch,2.073378801,2.016921532,0.000406325,0.000371255,-157.47374,1.96364,17,120,,-157.47374
